发布时间,微博id,用户id,用户名,微博地址,转发数,评论数,点赞数,正文,实验正文
Fri Apr 08 16:29:06 +0800 2022,4756018124293262,1752549400,全景网,https://m.weibo.cn/u/1752549400?uid=1752549400&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,244,423,5549,【#杭州部分地区可半价买房# 产权和政府共有】杭州共有产权房又有新消息了！最新获批的杭州市2022年度国有建设用地供应计划中明确，杭州将对租赁住房用地和共有产权房用地优先安排。今年，除上城区笕桥，临平区乔司，临安区锦南新城外，西湖区、拱墅区、钱塘区等地多个共有产权房项目也列入其中。根据杭州共有产权保障住房管理办法，共有产权房购房家庭产权份额比例不低于50%且不高于80%，可落户，孩童也可按照学区划分入学。,杭州共有产权房又有新消息了！最新获批的杭州市2022年度国有建设用地供应计划中明确，杭州将对租赁住房用地和共有产权房用地优先安排。今年，除上城区笕桥，临平区乔司，临安区锦南新城外，西湖区、拱墅区、钱塘区等地多个共有产权房项目也列入其中。根据杭州共有产权保障住房管理办法，共有产权房购房家庭产权份额比例不低于50%且不高于80%，可落户，孩童也可按照学区划分入学。
Fri Apr 08 10:40:32 +0800 2022,4755930405407327,1847582585,都市快报,https://m.weibo.cn/u/1847582585?uid=1847582585&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,12,35,10315,#杭州部分地区可半价买房# ，产权和政府共有！你会考虑买共有产权房吗？  网页链接 , ，产权和政府共有！你会考虑买共有产权房吗？  网页链接 
Fri Apr 08 13:36:21 +0800 2022,4755974651383695,7484864135,陆战铁骑,https://m.weibo.cn/u/7484864135?uid=7484864135&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,25,32,104,#杭州部分地区可半价买房#，共同富裕看浙里，杭州的举措妥妥的让人愿意来留得下有房住 ,，共同富裕看浙里，杭州的举措妥妥的让人愿意来留得下有房住 
Fri Apr 08 18:17:31 +0800 2022,4756045409030613,5852171882,溜溜球的小乖乖,https://m.weibo.cn/u/5852171882?uid=5852171882&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,0,0,0,#杭州部分地区可半价买房#可以推广，我觉得不错 ,可以推广，我觉得不错 
Fri Apr 08 18:17:04 +0800 2022,4756045295781684,5051714368,小枝_cathy,https://m.weibo.cn/u/5051714368?uid=5051714368&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,0,0,0,#杭州部分地区可半价买房#招一人和我一起买 ,招一人和我一起买 
Fri Apr 08 18:16:56 +0800 2022,4756045266420400,6561863011,松本假梅,https://m.weibo.cn/u/6561863011?uid=6561863011&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,0,0,0,#杭州部分地区可半价买房# 半价也买不起 , 半价也买不起 
Fri Apr 08 18:16:51 +0800 2022,4756045241518975,5064676254,我是大春4,https://m.weibo.cn/u/5064676254?uid=5064676254&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,0,0,0,#杭州部分地区可半价买房#这样挺好啊总比全价好鱼和熊掌不可兼得 ,这样挺好啊总比全价好鱼和熊掌不可兼得 
Fri Apr 08 18:12:47 +0800 2022,4756044217321262,3988937948,魅颖飞刀,https://m.weibo.cn/u/3988937948?uid=3988937948&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,0,0,1,#杭州部分地区可半价买房#再半价我也买不起，那边半价都差不多是我们这边的全价 ,再半价我也买不起，那边半价都差不多是我们这边的全价 
Fri Apr 08 18:01:09 +0800 2022,4756041290484941,1029374230,范炜,https://m.weibo.cn/u/1029374230?uid=1029374230&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,0,0,1,#杭州部分地区可半价买房#  产权和政府共有，年轻人觉得怎么样？,  产权和政府共有，年轻人觉得怎么样？
Fri Apr 08 17:58:14 +0800 2022,4756040556479973,2541259167,lovejanezhang,https://m.weibo.cn/u/2541259167?uid=2541259167&luicode=10000011&lfid=100103type%3D1%26q%3D%E6%9D%AD%E5%B7%9E+%E5%8D%8A%E4%BB%B7%E4%B9%B0%E6%88%BF,0,0,1,#杭州部分地区可半价买房#到时候又说各种条条框框。领导的七大姑八大姨就别买了 ,到时候又说各种条条框框。领导的七大姑八大姨就别买了 
